iter	Passed	Remaining
828	1295	267
829	1298	265
830	1299	264
831	1301	262
832	1302	261
833	1303	259
834	1305	257
835	1306	256
836	1307	254
837	1308	252
838	1309	251
839	1310	249
840	1312	248
841	1314	246
842	1316	245
843	1317	243
844	1318	241
845	1320	240
846	1321	238
847	1322	237
848	1323	235
849	1324	233
850	1325	232
851	1329	230
852	1330	229
853	1331	227
854	1332	225
855	1333	224
856	1334	222
857	1335	221
858	1336	219
859	1337	217
860	1338	216
861	1339	214
862	1341	212
863	1342	211
864	1344	209
865	1345	208
866	1346	206
867	1347	204
868	1348	203
869	1349	201
870	1350	200
871	1351	198
872	1352	196
873	1353	195
874	1354	193
875	1356	192
876	1359	190
877	1360	189
878	1361	187
879	1362	185
880	1363	184
881	1364	182
882	1365	180
883	1366	179
884	1367	177
885	1368	176
886	1369	174
887	1372	173
888	1374	171
889	1375	170
890	1377	168
891	1378	166
892	1379	165
893	1380	163
894	1381	162
895	1382	160
896	1382	158
897	1383	157
898	1387	155
899	1389	154
900	1390	152
901	1391	151
902	1392	149
903	1393	147
904	1394	146
905	1395	144
906	1396	143
907	1397	141
908	1398	139
909	1399	138
910	1401	136
911	1403	135
912	1405	133
913	1406	132
914	1407	130
915	1408	129
916	1409	127
917	1410	125
918	1411	124
919	1412	122
920	1413	121
921	1414	119
922	1417	118
923	1419	116
924	1420	115
925	1421	113
926	1422	111
927	1422	110
928	1423	108
929	1424	107
930	1425	105
931	1426	104
932	1427	102
933	1428	100
934	1430	99
935	1432	97
936	1433	96
937	1435	94
938	1436	93
939	1437	91
940	1438	90
941	1439	88
942	1439	87
943	1440	85
944	1441	83
945	1442	82
946	1443	80
947	1446	79
948	1448	77
949	1449	76
950	1450	74
951	1451	73
952	1452	71
953	1453	70
954	1454	68
955	1455	66
956	1456	65
957	1457	63
958	1458	62
959	1461	60
960	1462	59
961	1464	57
962	1465	56
963	1466	54
964	1467	53
965	1468	51
966	1469	50
967	1470	48
968	1471	47
969	1472	45
970	1473	43
971	1474	42
972	1476	40
973	1478	39
974	1479	37
975	1480	36
976	1481	34
977	1482	33
978	1483	31
979	1484	30
980	1485	28
981	1486	27
982	1487	25
983	1488	24
984	1490	22
985	1492	21
986	1493	19
987	1494	18
988	1495	16
989	1496	15
990	1497	13
991	1498	12
992	1499	10
993	1500	9
994	1501	7
995	1502	6
996	1504	4
997	1507	3
998	1508	1
999	1509	0
